Price,Location,Number of Rooms,Area,Floor
130000,Abşeron r.,3 otaqlı,5 m²,3/6 mərtəbə
750000,Bilgəh q.,N/A,N/A,N/A
160000,Zığ q.,N/A,N/A,N/A
170000,Xırdalan,3 otaqlı,126 m²,14/17 mərtəbə
275000,Bakıxanov q.,3 otaqlı,102 m²,9/12 mərtəbə
195000,28 May m.,2 otaqlı,65 m²,4/4 mərtəbə
70000,Masazır q.,3 otaqlı,70 m²,4/8 mərtəbə
130000,Sumqayıt,N/A,N/A,N/A
178000,Əhmədli m.,4 otaqlı,100 m²,3/9 mərtəbə
340000,Mərdəkan q.,N/A,N/A,N/A
52500,Sumqayıt,3 otaqlı,63 m²,4/5 mərtəbə
180000,Xırdalan,N/A,N/A,N/A
313000,Bayıl q.,3 otaqlı,149 m²,10/14 mərtəbə
418684,Elmlər Akademiyası m.,2 otaqlı,2 m²,7/18 mərtəbə
175000,Nəriman Nərimanov m.,2 otaqlı,6 m²,14/14 mərtəbə
260000,Nəsimi r.,2 otaqlı,83 m²,8/14 mərtəbə
57000,Xırdalan,N/A,N/A,N/A
295000,8 Noyabr m.,3 otaqlı,153 m²,3/12 mərtəbə
145000,Nəriman Nərimanov m.,3 otaqlı,52 m²,5/14 mərtəbə
110000,Məmmədli q.,N/A,N/A,N/A
320000,Əhmədli m.,N/A,N/A,N/A
259999,Badamdar q.,4 otaqlı,110 m²,18/19 mərtəbə
260000,Şüvəlan q.,N/A,N/A,N/A
91500,Xırdalan,2 otaqlı,70 m²,8/14 mərtəbə
166000,Əhmədli m.,4 otaqlı,100 m²,8/9 mərtəbə
239999,Nərimanov r.,3 otaqlı,82 m²,6/14 mərtəbə
157000,Nardaran q.,1 otaqlı,2 m²,6/7 mərtəbə
265000,Nəriman Nərimanov m.,2 otaqlı,100 m²,6/16 mərtəbə
299000,Novxanı q.,N/A,N/A,N/A
259000,Nərimanov r.,3 otaqlı,102 m²,3/17 mərtəbə
100000,Qəbələ,N/A,N/A,N/A
70000,Xırdalan,2 otaqlı,41 m²,9/13 mərtəbə
110000,Qəbələ,N/A,N/A,N/A
250000,Görədil q.,N/A,N/A,N/A
17900,Bakıxanov q.,3 otaqlı,65 m²,1/3 mərtəbə
190000,Nərimanov r.,3 otaqlı,70 m²,13/17 mərtəbə
110000,Səbail r.,4 otaqlı,110 m²,3/4 mərtəbə
590000,Gənclik m.,4 otaqlı,260 m²,6/16 mərtəbə
370000,Nəsimi m.,N/A,N/A,N/A
172000,Həzi Aslanov m.,3 otaqlı,2 m²,18/18 mərtəbə
160000,Binə q.,N/A,N/A,N/A
41500,Sabunçu q.,N/A,N/A,N/A
145000,Memar Əcəmi m.,2 otaqlı,61 m²,6/9 mərtəbə
220000,8 Noyabr m.,3 otaqlı,100 m²,13/19 mərtəbə
83500,Sumqayıt,2 otaqlı,56 m²,4/5 mərtəbə
139000,9-cu mikrorayon q.,N/A,N/A,N/A
75000,Masazır q.,2 otaqlı,5 m²,2/5 mərtəbə
400000,Xətai r.,4 otaqlı,168 m²,5/16 mərtəbə
260000,Şüvəlan q.,N/A,N/A,N/A
300000,Nəriman Nərimanov m.,3 otaqlı,148 m²,8/17 mərtəbə
43000,Mehdiabad q.,N/A,N/A,N/A
183000,8-ci mikrorayon q.,2 otaqlı,2 m²,14/16 mərtəbə
240000,Yasamal q.,3 otaqlı,125 m²,8/22 mərtəbə
325000,Neftçilər m.,3 otaqlı,135 m²,9/12 mərtəbə
285000,Memar Əcəmi m.,3 otaqlı,115 m²,3/18 mərtəbə
85000,Zabrat q.,N/A,N/A,N/A
157000,Memar Əcəmi m.,2 otaqlı,61 m²,3/9 mərtəbə
127000,Memar Əcəmi m.,2 otaqlı,48 m²,5/9 mərtəbə
365000,Şah İsmayıl Xətai m.,3 otaqlı,170 m²,12/17 mərtəbə
110000,Savalan q.,N/A,N/A,N/A
260000,Memar Əcəmi m.,3 otaqlı,115 m²,8/10 mərtəbə
186000,Xalqlar Dostluğu m.,3 otaqlı,100 m²,10/19 mərtəbə
75000,Yeni Günəşli q.,1 otaqlı,4 m²,4/9 mərtəbə
136000,Mehdiabad q.,N/A,N/A,N/A
109000,Memar Əcəmi m.,2 otaqlı,50 m²,2/5 mərtəbə
129000,İçəri Şəhər m.,2 otaqlı,60 m²,1/5 mərtəbə
190000,İçəri Şəhər m.,2 otaqlı,59 m²,3/4 mərtəbə
130000,Mehdiabad q.,N/A,N/A,N/A
120000,Həzi Aslanov m.,3 otaqlı,60 m²,1/9 mərtəbə
3300000,Ramana q.,N/A,N/A,N/A
205000,Neftçilər m.,2 otaqlı,119 m²,9/19 mərtəbə
165000,İnşaatçılar m.,3 otaqlı,118 m²,11/16 mərtəbə
290000,Gənclik m.,3 otaqlı,126 m²,12/16 mərtəbə
345000,M.Ə.Rəsulzadə q.,N/A,N/A,N/A
127000,Qara Qarayev m.,2 otaqlı,48 m²,7/17 mərtəbə
210000,Mərdəkan q.,N/A,N/A,N/A
156000,Memar Əcəmi m.,2 otaqlı,60 m²,2/18 mərtəbə
250000,Xudat,N/A,N/A,N/A
117000,Memar Əcəmi m.,2 otaqlı,55 m²,5/5 mərtəbə
120000,Xırdalan,3 otaqlı,85 m²,2/12 mərtəbə
280000,Görədil q.,N/A,N/A,N/A
150000,Lökbatan q.,3 otaqlı,90 m²,7/12 mərtəbə
447000,Şah İsmayıl Xətai m.,5 otaqlı,217 m²,5/16 mərtəbə
850000,Mərdəkan q.,N/A,N/A,N/A
445000,Mərdəkan q.,N/A,N/A,N/A
153000,Əhmədli q.,3 otaqlı,78 m²,4/9 mərtəbə
420000,Mərdəkan q.,N/A,N/A,N/A
149000,20 Yanvar m.,2 otaqlı,53 m²,17/20 mərtəbə
620000,Şüvəlan q.,N/A,N/A,N/A
105000,Keşlə q.,N/A,N/A,N/A
230000,Mərdəkan q.,N/A,N/A,N/A
980000,Mərdəkan q.,N/A,N/A,N/A
149000,Mərdəkan q.,N/A,N/A,N/A
490000,Mərdəkan q.,N/A,N/A,N/A
1700000,Bilgəh q.,N/A,N/A,N/A
208000,Səbail r.,3 otaqlı,72 m²,2/5 mərtəbə
255000,Nizami m.,3 otaqlı,120 m²,7/16 mərtəbə
369000,8 Noyabr m.,3 otaqlı,168 m²,17/18 mərtəbə
450000,İçəri Şəhər m.,N/A,N/A,N/A
449000,Həzi Aslanov q.,N/A,N/A,N/A
118000,Xırdalan,3 otaqlı,76 m²,8/16 mərtəbə
630000,Mərdəkan q.,N/A,N/A,N/A
