Price,Location,Number of Rooms,Area,Floor
484738,Nardaran q.,2 otaqlı,6 m²,5/7 mərtəbə
450840,Nardaran q.,2 otaqlı,102 m²,2/7 mərtəbə
195000,Həzi Aslanov m.,3 otaqlı,100 m²,15/18 mərtəbə
385679,Nardaran q.,2 otaqlı,6 m²,1/7 mərtəbə
225000,8 Noyabr m.,2 otaqlı,7 m²,25/27 mərtəbə
346800,Nardaran q.,2 otaqlı,85 m²,2/7 mərtəbə
899000,İçəri Şəhər m.,4 otaqlı,200 m²,12/14 mərtəbə
255000,Nəsimi r.,3 otaqlı,117 m²,13/17 mərtəbə
172000,Səbail r.,2 otaqlı,72 m²,3/17 mərtəbə
289000,Nəsimi r.,3 otaqlı,95 m²,3/16 mərtəbə
210000,İnşaatçılar m.,4 otaqlı,118 m²,10/20 mərtəbə
215000,Yasamal r.,3 otaqlı,80 m²,3/4 mərtəbə
200000,Nəsimi r.,2 otaqlı,83 m²,8/17 mərtəbə
425000,Mərdəkan q.,N/A,N/A,N/A
220000,Şüvəlan q.,N/A,N/A,N/A
790000,Mərdəkan q.,N/A,N/A,N/A
130000,Qəbələ,N/A,N/A,N/A
95000,İnşaatçılar m.,2 otaqlı,40 m²,5/5 mərtəbə
450000,Novxanı q.,N/A,N/A,N/A
180000,Memar Əcəmi m.,3 otaqlı,85 m²,2/9 mərtəbə
2000000,Badamdar q.,N/A,N/A,N/A
620000,Yasamal q.,4 otaqlı,259 m²,5/19 mərtəbə
85000,Xırdalan,2 otaqlı,50 m²,6/15 mərtəbə
345000,8 Noyabr m.,3 otaqlı,145 m²,5/17 mərtəbə
508000,Nəriman Nərimanov m.,4 otaqlı,165 m²,3/16 mərtəbə
279000,Nərimanov r.,2 otaqlı,111 m²,2/13 mərtəbə
56000,Hövsan q.,1 otaqlı,40 m²,1/7 mərtəbə
42500,Biləcəri q.,N/A,N/A,N/A
325000,M.Ə.Rəsulzadə q.,N/A,N/A,N/A
193000,Koroğlu m.,2 otaqlı,3 m²,15/16 mərtəbə
770000,Şüvəlan q.,N/A,N/A,N/A
160000,Maştağa q.,N/A,N/A,N/A
285000,Elmlər Akademiyası m.,3 otaqlı,85 m²,6/16 mərtəbə
130000,Biləcəri q.,N/A,N/A,N/A
985000,Şah İsmayıl Xətai m.,4 otaqlı,275 m²,11/27 mərtəbə
700000,Novxanı q.,N/A,N/A,N/A
91000,Xırdalan,N/A,N/A,N/A
530000,Elmlər Akademiyası m.,3 otaqlı,215 m²,10/18 mərtəbə
125000,Tovuz,N/A,N/A,N/A
435000,Elmlər Akademiyası m.,4 otaqlı,163 m²,2/16 mərtəbə
365000,İçəri Şəhər m.,3 otaqlı,80 m²,4/5 mərtəbə
395000,Şağan q.,N/A,N/A,N/A
155000,Şüvəlan q.,N/A,N/A,N/A
90500,Xırdalan,N/A,N/A,N/A
780000,28 May m.,4 otaqlı,5 m²,6/15 mərtəbə
197000,Yasamal r.,3 otaqlı,110 m²,11/12 mərtəbə
234000,Koroğlu m.,2 otaqlı,2 m²,9/16 mərtəbə
76000,Massiv V q.,1 otaqlı,53 m²,4/9 mərtəbə
255000,İnşaatçılar m.,3 otaqlı,5 m²,5/18 mərtəbə
110000,Elmlər Akademiyası m.,1 otaqlı,35 m²,4/5 mərtəbə
2000000,Nərimanov r.,N/A,N/A,N/A
196000,Yasamal r.,3 otaqlı,75 m²,5/6 mərtəbə
255000,Mərdəkan q.,N/A,N/A,N/A
125000,Bakıxanov q.,2 otaqlı,55 m²,2/9 mərtəbə
205000,İnşaatçılar m.,4 otaqlı,110 m²,8/9 mərtəbə
105000,Hövsan q.,4 otaqlı,80 m²,5/7 mərtəbə
115000,Elmlər Akademiyası m.,1 otaqlı,32 m²,4/5 mərtəbə
270000,Elmlər Akademiyası m.,4 otaqlı,100 m²,5/5 mərtəbə
170000,Əhmədli m.,3 otaqlı,80 m²,4/9 mərtəbə
255000,Nərimanov r.,3 otaqlı,97 m²,15/17 mərtəbə
394196,Nardaran q.,2 otaqlı,4 m²,5/7 mərtəbə
189500,Nəsimi r.,2 otaqlı,55 m²,15/17 mərtəbə
430083,Nardaran q.,2 otaqlı,7 m²,5/7 mərtəbə
318325,Nardaran q.,1 otaqlı,5 m²,6/7 mərtəbə
350000,Elmlər Akademiyası m.,N/A,N/A,N/A
310233,Nardaran q.,1 otaqlı,3 m²,5/7 mərtəbə
210000,Gənclik m.,3 otaqlı,88 m²,9/10 mərtəbə
580000,Nəsimi r.,4 otaqlı,240 m²,18/20 mərtəbə
245752,Nardaran q.,1 otaqlı,6 m²,4/7 mərtəbə
393600,Nəsimi r.,3 otaqlı,123 m²,15/17 mərtəbə
630000,Şah İsmayıl Xətai m.,4 otaqlı,200 m²,19/20 mərtəbə
985000,Şah İsmayıl Xətai m.,4 otaqlı,275 m²,11/27 mərtəbə
220000,İnşaatçılar m.,3 otaqlı,115 m²,8/17 mərtəbə
270000,Elmlər Akademiyası m.,3 otaqlı,121 m²,11/16 mərtəbə
149000,Elmlər Akademiyası m.,2 otaqlı,63 m²,4/4 mərtəbə
279990,Nardaran q.,1 otaqlı,9 m²,2/7 mərtəbə
185000,İnşaatçılar m.,4 otaqlı,100 m²,5/9 mərtəbə
235000,Nərimanov r.,3 otaqlı,100 m²,3/6 mərtəbə
319000,Memar Əcəmi m.,4 otaqlı,200 m²,4/13 mərtəbə
155000,Nərimanov r.,2 otaqlı,52 m²,7/17 mərtəbə
115000,Masazır q.,3 otaqlı,82 m²,6/9 mərtəbə
145000,Nəriman Nərimanov m.,2 otaqlı,40 m²,15/16 mərtəbə
220000,Bakıxanov q.,4 otaqlı,93 m²,2/7 mərtəbə
163000,8 Noyabr m.,2 otaqlı,74 m²,6/8 mərtəbə
85000,Qara Qarayev m.,1 otaqlı,32 m²,5/6 mərtəbə
124500,İnşaatçılar m.,2 otaqlı,55 m²,5/5 mərtəbə
98000,Xırdalan,2 otaqlı,62 m²,8/16 mərtəbə
44000,Hövsan q.,N/A,N/A,N/A
44000,Hövsan q.,N/A,N/A,N/A
240000,Memar Əcəmi m.,3 otaqlı,110 m²,6/10 mərtəbə
85000,Sumqayıt,N/A,N/A,N/A
146000,Xalqlar Dostluğu m.,3 otaqlı,90 m²,7/9 mərtəbə
200000,NZS q.,N/A,N/A,N/A
62000,Keşlə q.,N/A,N/A,N/A
87000,NZS q.,N/A,N/A,N/A
300000,Masazır q.,N/A,N/A,N/A
205000,Azadlıq Prospekti m.,4 otaqlı,105 m²,5/5 mərtəbə
80000,Zığ q.,2 otaqlı,48 m²,2/11 mərtəbə
71500,Sumqayıt,2 otaqlı,60 m²,8/8 mərtəbə
152000,Qara Qarayev m.,2 otaqlı,56 m²,11/15 mərtəbə
195000,Həzi Aslanov m.,3 otaqlı,84 m²,9/19 mərtəbə
135000,Bakıxanov q.,3 otaqlı,92 m²,4/17 mərtəbə
270000,Nəsimi r.,3 otaqlı,129 m²,4/20 mərtəbə
72000,Xırdalan,2 otaqlı,44 m²,18/18 mərtəbə
275000,Koroğlu m.,3 otaqlı,1 m²,5/18 mərtəbə
200000,Bakıxanov q.,2 otaqlı,90 m²,17/23 mərtəbə
45000,Xırdalan,N/A,N/A,N/A
180000,Yeni Günəşli q.,3 otaqlı,105 m²,9/17 mərtəbə
135000,Nəriman Nərimanov m.,N/A,N/A,N/A
142000,Gənclik m.,2 otaqlı,65 m²,6/9 mərtəbə
156000,İnşaatçılar m.,3 otaqlı,70 m²,8/9 mərtəbə
45000,Binə q.,N/A,N/A,N/A
520000,Nəsimi r.,4 otaqlı,200 m²,6/18 mərtəbə
156000,İnşaatçılar m.,3 otaqlı,70 m²,8/9 mərtəbə
43000,Xırdalan,2 otaqlı,31 m²,15/17 mərtəbə
92000,İnşaatçılar m.,1 otaqlı,30 m²,4/5 mərtəbə
122507,20 Yanvar m.,2 otaqlı,3 m²,20/20 mərtəbə
121304,20 Yanvar m.,2 otaqlı,2 m²,18/20 mərtəbə
119634,20 Yanvar m.,2 otaqlı,1 m²,20/20 mərtəbə
166000,Yeni Günəşli q.,3 otaqlı,97 m²,11/17 mərtəbə
88000,Hövsan q.,N/A,N/A,N/A
187000,Həzi Aslanov m.,4 otaqlı,100 m²,5/9 mərtəbə
133000,Yasamal r.,2 otaqlı,58 m²,6/9 mərtəbə
197000,Xəzər r.,4 otaqlı,120 m²,5/7 mərtəbə
122000,Hövsan q.,4 otaqlı,115 m²,2/9 mərtəbə
375000,28 May m.,4 otaqlı,180 m²,13/17 mərtəbə
122507,20 Yanvar m.,2 otaqlı,3 m²,20/20 mərtəbə
340000,Binəqədi r.,4 otaqlı,208 m²,3/18 mərtəbə
535000,Ağ şəhər q.,3 otaqlı,135 m²,10/20 mərtəbə
260000,8 Noyabr m.,3 otaqlı,104 m²,12/19 mərtəbə
155000,Bakıxanov q.,3 otaqlı,67 m²,4/5 mərtəbə
245000,Şağan q.,N/A,N/A,N/A
353600,28 May m.,3 otaqlı,136 m²,4/17 mərtəbə
225000,Yasamal r.,3 otaqlı,100 m²,5/9 mərtəbə
517752,Nardaran q.,3 otaqlı,2 m²,1/8 mərtəbə
258000,Nərimanov r.,3 otaqlı,122 m²,11/17 mərtəbə
537413,Nardaran q.,3 otaqlı,5 m²,5/8 mərtəbə
370000,Nəsimi r.,3 otaqlı,165 m²,14/18 mərtəbə
209916,Nardaran q.,1 otaqlı,8 m²,1/8 mərtəbə
105000,Bakıxanov q.,2 otaqlı,58 m²,3/5 mərtəbə
122000,Elmlər Akademiyası m.,2 otaqlı,50 m²,8/9 mərtəbə
578000,Ağ şəhər q.,4 otaqlı,3 m²,2/8 mərtəbə
159000,Koroğlu m.,2 otaqlı,5 m²,7/18 mərtəbə
206703,Nardaran q.,1 otaqlı,9 m²,1/8 mərtəbə
158865,Nardaran q.,1 otaqlı,5 m²,2/8 mərtəbə
538000,Şah İsmayıl Xətai m.,3 otaqlı,163 m²,8/20 mərtəbə
349000,28 May m.,3 otaqlı,159 m²,4/20 mərtəbə
365000,Mərdəkan q.,N/A,N/A,N/A
175000,Nəriman Nərimanov m.,2 otaqlı,6 m²,14/14 mərtəbə
112000,Memar Əcəmi m.,2 otaqlı,52 m²,4/5 mərtəbə
190000,20 Yanvar m.,3 otaqlı,100 m²,16/18 mərtəbə
250000,Bilgəh q.,N/A,N/A,N/A
520000,Şah İsmayıl Xətai m.,3 otaqlı,162 m²,5/19 mərtəbə
75000,Masazır q.,2 otaqlı,80 m²,8/10 mərtəbə
135000,Məmmədli q.,N/A,N/A,N/A
185000,Mərdəkan q.,N/A,N/A,N/A
17000,Suraxanı r.,N/A,N/A,N/A
790000,28 May m.,3 otaqlı,210 m²,2/3 mərtəbə
159936,Nardaran q.,1 otaqlı,8 m²,2/8 mərtəbə
500000,Bayıl q.,5 otaqlı,239 m²,7/12 mərtəbə
67000,Yeni Suraxanı q.,N/A,N/A,N/A
395000,Zirə q.,N/A,N/A,N/A
88000,Yasamal r.,N/A,N/A,N/A
190000,Qara Qarayev m.,3 otaqlı,75 m²,12/13 mərtəbə
500,Xırdalan,N/A,N/A,N/A
202000,Memar Əcəmi m.,3 otaqlı,95 m²,9/18 mərtəbə
55000,Binəqədi q.,1 otaqlı,47 m²,3/5 mərtəbə
65000,Binə q.,2 otaqlı,1 m²,1/4 mərtəbə
180000,Koroğlu m.,2 otaqlı,5 m²,13/18 mərtəbə
395000,Zirə q.,N/A,N/A,N/A
37300,Badamdar q.,N/A,N/A,N/A
388000,Nəsimi r.,3 otaqlı,136 m²,14/15 mərtəbə
160000,Nizami r.,2 otaqlı,3 m²,4/18 mərtəbə
500000,Elmlər Akademiyası m.,N/A,N/A,N/A
172000,Həzi Aslanov m.,2 otaqlı,90 m²,4/17 mərtəbə
279000,Əhmədli m.,4 otaqlı,116 m²,2/16 mərtəbə
69000,Hövsan q.,N/A,N/A,N/A
95000,Biləcəri q.,2 otaqlı,58 m²,2/5 mərtəbə
330000,Gənclik m.,3 otaqlı,178 m²,7/18 mərtəbə
225000,Nəsimi r.,2 otaqlı,60 m²,4/5 mərtəbə
250000,Elmlər Akademiyası m.,3 otaqlı,150 m²,18/27 mərtəbə
490000,Mərdəkan q.,N/A,N/A,N/A
138000,Nəsimi m.,3 otaqlı,80 m²,19/19 mərtəbə
222456,8 Noyabr m.,2 otaqlı,7 m²,9/16 mərtəbə
220000,Nardaran q.,N/A,N/A,N/A
660000,İçəri Şəhər m.,4 otaqlı,213 m²,4/11 mərtəbə
170000,Qara Qarayev m.,2 otaqlı,65 m²,11/17 mərtəbə
308000,28 May m.,3 otaqlı,140 m²,7/17 mərtəbə
300000,Bayıl q.,3 otaqlı,117 m²,11/16 mərtəbə
175000,Nəsimi r.,2 otaqlı,5 m²,13/13 mərtəbə
200000,İnşaatçılar m.,3 otaqlı,120 m²,2/17 mərtəbə
255000,Neftçilər m.,3 otaqlı,133 m²,15/17 mərtəbə
599000,Şah İsmayıl Xətai m.,4 otaqlı,181 m²,6/18 mərtəbə
125000,Xırdalan,3 otaqlı,64 m²,2/5 mərtəbə
300000,Abşeron r.,N/A,N/A,N/A
385000,Elmlər Akademiyası m.,3 otaqlı,100 m²,3/16 mərtəbə
120000,İnşaatçılar m.,2 otaqlı,50 m²,2/5 mərtəbə
130000,Qara Qarayev m.,2 otaqlı,50 m²,2/5 mərtəbə
267000,28 May m.,3 otaqlı,85 m²,2/16 mərtəbə
228000,Nəsimi r.,2 otaqlı,73 m²,8/20 mərtəbə
395000,Yasamal r.,3 otaqlı,148 m²,26/27 mərtəbə
380000,Yasamal r.,4 otaqlı,178 m²,7/27 mərtəbə
114000,Masazır q.,N/A,N/A,N/A
275000,20 Yanvar m.,3 otaqlı,134 m²,8/16 mərtəbə
390000,Mərdəkan q.,N/A,N/A,N/A
16000,Novxanı q.,N/A,N/A,N/A
128000,Həzi Aslanov m.,2 otaqlı,60 m²,3/12 mərtəbə
122000,Köhnə Günəşli q.,3 otaqlı,80 m²,6/9 mərtəbə
440000,Mərdəkan q.,N/A,N/A,N/A
310368,Koroğlu m.,3 otaqlı,4 m²,14/16 mərtəbə
215000,Şüvəlan q.,N/A,N/A,N/A
242000,Nəriman Nərimanov m.,3 otaqlı,118 m²,12/15 mərtəbə
220000,Albalılıq q.,N/A,N/A,N/A
103000,Memar Əcəmi m.,2 otaqlı,55 m²,5/5 mərtəbə
215000,9-cu mikrorayon q.,3 otaqlı,101 m²,9/17 mərtəbə
395000,Şah İsmayıl Xətai m.,3 otaqlı,145 m²,16/18 mərtəbə
92000,Masazır q.,2 otaqlı,82 m²,10/11 mərtəbə
135000,Masazır q.,N/A,N/A,N/A
310000,Şah İsmayıl Xətai m.,3 otaqlı,115 m²,6/16 mərtəbə
449000,Şah İsmayıl Xətai m.,3 otaqlı,141 m²,12/18 mərtəbə
182000,Gənclik m.,2 otaqlı,55 m²,8/16 mərtəbə
250000,Buzovna q.,N/A,N/A,N/A
156000,Biləcəri q.,2 otaqlı,1 m²,15/17 mərtəbə
145000,Şağan q.,N/A,N/A,N/A
209000,Həzi Aslanov m.,3 otaqlı,76 m²,9/21 mərtəbə
330000,Şah İsmayıl Xətai m.,2 otaqlı,60 m²,2/7 mərtəbə
145000,Qara Qarayev m.,3 otaqlı,70 m²,2/9 mərtəbə
83000,Hövsan q.,2 otaqlı,52 m²,4/9 mərtəbə
160000,Əhmədli m.,N/A,N/A,N/A
200000,Nəriman Nərimanov m.,2 otaqlı,63 m²,1/4 mərtəbə
83000,Xırdalan,3 otaqlı,73 m²,3/9 mərtəbə
200000,Nəsimi m.,3 otaqlı,80 m²,6/9 mərtəbə
207000,Nizami m.,2 otaqlı,3 m²,10/14 mərtəbə
250000,Şüvəlan q.,N/A,N/A,N/A
250000,Şah İsmayıl Xətai m.,2 otaqlı,67 m²,8/18 mərtəbə
170000,Köhnə Günəşli q.,3 otaqlı,118 m²,5/10 mərtəbə
103000,Əhmədli m.,1 otaqlı,45 m²,8/9 mərtəbə
147000,Nərimanov r.,1 otaqlı,66 m²,3/9 mərtəbə
245000,Qara Qarayev m.,3 otaqlı,109 m²,4/17 mərtəbə
278000,Bakıxanov q.,3 otaqlı,100 m²,15/16 mərtəbə
35000,NZS q.,N/A,N/A,N/A
241000,28 May m.,3 otaqlı,105 m²,4/8 mərtəbə
24000,Novxanı q.,N/A,N/A,N/A
207000,Nizami m.,2 otaqlı,3 m²,11/15 mərtəbə
179999,Nəsimi r.,2 otaqlı,66 m²,5/18 mərtəbə
63000,Masazır q.,N/A,N/A,N/A
218000,Nəsimi r.,3 otaqlı,90 m²,6/9 mərtəbə
105000,Masazır q.,N/A,N/A,N/A
220000,Yasamal r.,2 otaqlı,85 m²,10/17 mərtəbə
55000,Xırdalan,1 otaqlı,39 m²,2/11 mərtəbə
250000,Dərnəgül m.,3 otaqlı,130 m²,7/16 mərtəbə
115000,Həzi Aslanov m.,2 otaqlı,50 m²,8/17 mərtəbə
235200,Gənclik m.,3 otaqlı,112 m²,15/17 mərtəbə
320000,Mərdəkan q.,N/A,N/A,N/A
97000,Neftçilər m.,2 otaqlı,35 m²,4/5 mərtəbə
230000,İnşaatçılar m.,4 otaqlı,140 m²,5/12 mərtəbə
49350,Xırdalan,1 otaqlı,47 m²,16/17 mərtəbə
178000,20 Yanvar m.,3 otaqlı,70 m²,4/16 mərtəbə
131805,8 Noyabr m.,1 otaqlı,5 m²,10/16 mərtəbə
204104,8 Noyabr m.,2 otaqlı,3 m²,9/16 mərtəbə
216106,8 Noyabr m.,2 otaqlı,3 m²,7/16 mərtəbə
1500000,Gənclik m.,N/A,N/A,N/A
63000,Xaçmaz,N/A,N/A,N/A
188000,Nəriman Nərimanov m.,2 otaqlı,86 m²,14/14 mərtəbə
255000,Sahil m.,2 otaqlı,70 m²,4/5 mərtəbə
239500,Ağ şəhər q.,2 otaqlı,68 m²,15/20 mərtəbə
99000,Novxanı q.,N/A,N/A,N/A
820000,Nəriman Nərimanov m.,4 otaqlı,280 m²,3/13 mərtəbə
16000,Göyçay,N/A,N/A,N/A
345000,İçəri Şəhər m.,3 otaqlı,138 m²,5/19 mərtəbə
125000,Həzi Aslanov m.,2 otaqlı,3 m²,13/14 mərtəbə
160000,Xalqlar Dostluğu m.,3 otaqlı,70 m²,6/9 mərtəbə
175000,Həzi Aslanov m.,4 otaqlı,100 m²,7/9 mərtəbə
92500,Şamaxı,N/A,N/A,N/A
400000,Görədil q.,N/A,N/A,N/A
265000,28 May m.,3 otaqlı,90 m²,9/17 mərtəbə
85000,Xırdalan,2 otaqlı,51 m²,14/16 mərtəbə
91000,İnşaatçılar m.,1 otaqlı,35 m²,4/5 mərtəbə
145000,Nərimanov r.,2 otaqlı,58 m²,2/16 mərtəbə
625000,Həzi Aslanov q.,4 otaqlı,200 m²,16/19 mərtəbə
140000,20 Yanvar m.,2 otaqlı,60 m²,19/20 mərtəbə
80000,Zığ q.,2 otaqlı,48 m²,2/11 mərtəbə
167000,Azadlıq Prospekti m.,2 otaqlı,70 m²,17/19 mərtəbə
85000,Xırdalan,2 otaqlı,60 m²,1/5 mərtəbə
71500,Sumqayıt,2 otaqlı,60 m²,8/8 mərtəbə
265000,Sabunçu q.,N/A,N/A,N/A
62000,Xırdalan,N/A,N/A,N/A
175000,Bayıl q.,3 otaqlı,95 m²,4/5 mərtəbə
400000,Savalan q.,N/A,N/A,N/A
214000,Neftçilər m.,3 otaqlı,110 m²,14/17 mərtəbə
338000,28 May m.,3 otaqlı,115 m²,15/18 mərtəbə
122500,Elmlər Akademiyası m.,2 otaqlı,62 m²,9/9 mərtəbə
93000,Neftçilər m.,2 otaqlı,40 m²,1/5 mərtəbə
120000,Pirşağı q.,N/A,N/A,N/A
330000,Zirə q.,N/A,N/A,N/A
56000,Albalılıq q.,N/A,N/A,N/A
229900,Nərimanov r.,2 otaqlı,108 m²,10/16 mərtəbə
93000,Neftçilər m.,2 otaqlı,40 m²,1/5 mərtəbə
80000,Binə q.,N/A,N/A,N/A
380000,1-ci mikrorayon q.,6 otaqlı,297 m²,1/2 mərtəbə
265000,Ağ şəhər q.,2 otaqlı,65 m²,3/6 mərtəbə
220500,Gənclik m.,2 otaqlı,8 m²,9/17 mərtəbə
460000,28 May m.,4 otaqlı,205 m²,7/11 mərtəbə
75000,Keşlə q.,N/A,N/A,N/A
64000,Masazır q.,1 otaqlı,64 m²,12/15 mərtəbə
199500,Nəsimi m.,3 otaqlı,110 m²,17/17 mərtəbə
170000,Mərdəkan q.,N/A,N/A,N/A
146900,Nəriman Nərimanov m.,2 otaqlı,3 m²,10/17 mərtəbə
315000,Həzi Aslanov q.,3 otaqlı,155 m²,14/17 mərtəbə
150000,Nəsimi r.,2 otaqlı,82 m²,16/17 mərtəbə
483000,Elmlər Akademiyası m.,5 otaqlı,200 m²,5/16 mərtəbə
170000,Nərimanov r.,2 otaqlı,58 m²,14/17 mərtəbə
630000,Ağ şəhər q.,5 otaqlı,7 m²,5/7 mərtəbə
370000,Gənclik m.,3 otaqlı,143 m²,13/17 mərtəbə
178000,Qara Qarayev m.,2 otaqlı,70 m²,10/16 mərtəbə
147000,Neftçilər m.,2 otaqlı,60 m²,3/18 mərtəbə
510000,Xətai r.,N/A,N/A,N/A
151000,Şah İsmayıl Xətai m.,2 otaqlı,55 m²,2/5 mərtəbə
450000,8 Noyabr m.,6 otaqlı,270 m²,20/21 mərtəbə
58000,Mehdiabad q.,2 otaqlı,68 m²,11/11 mərtəbə
128000,İçəri Şəhər m.,2 otaqlı,38 m²,5/5 mərtəbə
212490,20 Yanvar m.,3 otaqlı,7 m²,8/20 mərtəbə
105000,Xalqlar Dostluğu m.,2 otaqlı,60 m²,17/17 mərtəbə
32000,Lənkəran,N/A,N/A,N/A
63000,Qaraçuxur q.,2 otaqlı,54 m²,2/4 mərtəbə
1350000,Həzi Aslanov m.,N/A,N/A,N/A
200000,Bayıl q.,3 otaqlı,120 m²,4/17 mərtəbə
415000,Elmlər Akademiyası m.,3 otaqlı,158 m²,11/17 mərtəbə
420000,İnşaatçılar m.,3 otaqlı,140 m²,13/21 mərtəbə
72000,Albalılıq q.,N/A,N/A,N/A
290000,Gənclik m.,3 otaqlı,96 m²,5/16 mərtəbə
183000,İnşaatçılar m.,2 otaqlı,51 m²,9/18 mərtəbə
250000,İnşaatçılar m.,3 otaqlı,150 m²,18/27 mərtəbə
197000,Nəsimi r.,2 otaqlı,62 m²,14/17 mərtəbə
145000,Xəzər r.,N/A,N/A,N/A
163000,Xəzər r.,N/A,N/A,N/A
380000,Nizami m.,3 otaqlı,185 m²,13/18 mərtəbə
285000,Gənclik m.,3 otaqlı,130 m²,4/17 mərtəbə
92000,Hökməli q.,N/A,N/A,N/A
210000,Nəriman Nərimanov m.,2 otaqlı,60 m²,14/20 mərtəbə
150000,20 Yanvar m.,2 otaqlı,60 m²,7/20 mərtəbə
195000,Həzi Aslanov m.,3 otaqlı,102 m²,15/18 mərtəbə
85000,Xırdalan,3 otaqlı,8 m²,7/7 mərtəbə
198000,Nəriman Nərimanov m.,2 otaqlı,57 m²,6/17 mərtəbə
410000,NZS q.,N/A,N/A,N/A
60000,Xırdalan,2 otaqlı,46 m²,4/4 mərtəbə
433000,Gənclik m.,4 otaqlı,200 m²,5/16 mərtəbə
105000,Hövsan q.,4 otaqlı,80 m²,5/7 mərtəbə
422000,Elmlər Akademiyası m.,4 otaqlı,161 m²,11/15 mərtəbə
180000,Əhmədli q.,2 otaqlı,92 m²,10/22 mərtəbə
167000,İnşaatçılar m.,2 otaqlı,69 m²,6/16 mərtəbə
59500,Xətai r.,2 otaqlı,43 m²,4/14 mərtəbə
210000,Dübəndi q.,N/A,N/A,N/A
130000,Şıxov q.,N/A,N/A,N/A
229900,Nərimanov r.,2 otaqlı,108 m²,10/16 mərtəbə
145000,Nəsimi r.,3 otaqlı,52 m²,5/14 mərtəbə
165000,Nəsimi r.,2 otaqlı,70 m²,8/10 mərtəbə
105000,İnşaatçılar m.,2 otaqlı,90 m²,12/12 mərtəbə
158000,Nərimanov r.,2 otaqlı,58 m²,11/16 mərtəbə
97000,Xırdalan,2 otaqlı,62 m²,7/9 mərtəbə
180000,Elmlər Akademiyası m.,3 otaqlı,65 m²,3/5 mərtəbə
190000,Gənclik m.,3 otaqlı,85 m²,3/5 mərtəbə
290000,Buzovna q.,N/A,N/A,N/A
265000,28 May m.,3 otaqlı,105 m²,3/4 mərtəbə
360000,Nəsimi r.,3 otaqlı,170 m²,3/16 mərtəbə
292000,Nərimanov r.,4 otaqlı,163 m²,19/21 mərtəbə
189000,Yasamal r.,3 otaqlı,85 m²,6/12 mərtəbə
300000,Nizami m.,4 otaqlı,120 m²,2/3 mərtəbə
229000,Nəriman Nərimanov m.,3 otaqlı,101 m²,4/19 mərtəbə
156000,Əhmədli m.,3 otaqlı,75 m²,2/9 mərtəbə
480000,Azadlıq Prospekti m.,3 otaqlı,205 m²,10/18 mərtəbə
150000,Sahil m.,2 otaqlı,60 m²,4/4 mərtəbə
370000,Nəsimi r.,N/A,N/A,N/A
131500,20 Yanvar m.,2 otaqlı,50 m²,3/5 mərtəbə
490000,Novxanı q.,N/A,N/A,N/A
143000,Gənclik m.,2 otaqlı,7 m²,5/6 mərtəbə
165000,Neftçilər m.,3 otaqlı,70 m²,2/5 mərtəbə
378500,Nardaran q.,2 otaqlı,84 m²,3/8 mərtəbə
259000,Həzi Aslanov m.,N/A,N/A,N/A
115000,Sabunçu r.,N/A,N/A,N/A
320000,Fatmayı q.,N/A,N/A,N/A
165000,Neftçilər m.,3 otaqlı,70 m²,2/5 mərtəbə
207000,28 May m.,2 otaqlı,9 m²,5/15 mərtəbə
205000,Şüvəlan q.,N/A,N/A,N/A
225000,Nəriman Nərimanov m.,2 otaqlı,73 m²,3/8 mərtəbə
27000,Binə q.,N/A,N/A,N/A
47500,Masazır q.,2 otaqlı,64 m²,2/6 mərtəbə
300000,Nəriman Nərimanov m.,3 otaqlı,105 m²,8/19 mərtəbə
428000,Nəriman Nərimanov m.,3 otaqlı,153 m²,12/19 mərtəbə
167450,Nəriman Nərimanov m.,1 otaqlı,57 m²,5/19 mərtəbə
640000,Nardaran q.,3 otaqlı,141 m²,3/4 mərtəbə
300000,Nərimanov r.,3 otaqlı,105 m²,8/19 mərtəbə
462000,Nərimanov r.,3 otaqlı,165 m²,12/19 mərtəbə
189000,Yasamal r.,3 otaqlı,85 m²,6/12 mərtəbə
105000,Xırdalan,2 otaqlı,70 m²,10/16 mərtəbə
62800,Masazır q.,2 otaqlı,53 m²,2/6 mərtəbə
294500,Nəriman Nərimanov m.,3 otaqlı,155 m²,16/17 mərtəbə
218000,Həzi Aslanov q.,3 otaqlı,100 m²,17/21 mərtəbə
670000,Nərimanov r.,5 otaqlı,216 m²,15/19 mərtəbə
185000,Şah İsmayıl Xətai m.,2 otaqlı,60 m²,6/13 mərtəbə
56000,Binə q.,N/A,N/A,N/A
215000,Yasamal r.,3 otaqlı,80 m²,3/5 mərtəbə
560000,Nəriman Nərimanov m.,4 otaqlı,170 m²,16/17 mərtəbə
365000,Nərimanov r.,3 otaqlı,138 m²,15/17 mərtəbə
444000,Nəsimi r.,4 otaqlı,222 m²,12/20 mərtəbə
3900,Hövsan q.,N/A,N/A,N/A
35000,Bilgəh q.,N/A,N/A,N/A
260000,Mərdəkan q.,N/A,N/A,N/A
270000,İnşaatçılar m.,3 otaqlı,146 m²,17/18 mərtəbə
540000,8 Noyabr m.,3 otaqlı,159 m²,12/16 mərtəbə
375000,Elmlər Akademiyası m.,3 otaqlı,101 m²,8/14 mərtəbə
390000,Mərdəkan q.,N/A,N/A,N/A
105000,İnşaatçılar m.,2 otaqlı,58 m²,12/13 mərtəbə
205000,Həzi Aslanov m.,2 otaqlı,95 m²,4/20 mərtəbə
